row_id,player_name,college,country,draft_number,draft_round,draft_year
84,Gary Grant,Michigan,USA,15,1,1988
8385,Gary Harris,Michigan State,USA,19,1,2014
6348,Gary Neal,Towson,USA,Undrafted,Undrafted,Undrafted
85,Gary Payton,Oregon State,USA,2,1,1990
9524,Gary Payton II,Oregon State,USA,Undrafted,Undrafted,Undrafted
86,Gary Trent,Ohio,USA,11,1,1995
10108,Gary Trent Jr.,None,USA,Undrafted,Undrafted,Undrafted
87,Gaylon Nickerson,Northwestern Oklahoma,USA,34,2,1994
3955,Geno Carlisle,California,USA,Undrafted,Undrafted,Undrafted
5369,George Hill,Indiana Purdue-Indianapolis,USA,26,1,2008
10107,George King,University of Colorado Boulder,USA,59,2,2018
88,George Lynch,North Carolina,USA,12,1,1993
89,George McCloud,Florida State,USA,7,1,1989
90,George Zidek,UCLA,USA,22,1,1995
9522,Georges Niang,Iowa State,USA,50,2,2016
9521,Georgios Papagiannis,None,Greece,13,1,2016
1209,Gerald Brown,Pepperdine,USA,Undrafted,Undrafted,Undrafted
4374,Gerald Fitch,Kentucky,USA,Undrafted,Undrafted,Undrafted
4401,Gerald Green,None,USA,18,1,2005
5881,Gerald Henderson,Duke,USA,12,1,2009
815,Gerald Madkins,UCLA,USA,Undrafted,Undrafted,Undrafted
2614,Gerald Wallace,Alabama,USA,25,1,2001
91,Gerald Wilkins,Tennessee-Chattanooga,USA,47,2,1985
1211,Gerard King,Nicholls State,USA,Undrafted,Undrafted,Undrafted
92,Gheorghe Muresan,None,USA,30,2,1993
9595,Gian Clavell,Colorado State,Puerto Rico,Undrafted,Undrafted,Undrafted
7933,Giannis Antetokounmpo,None,Greece,15,1,2013
7932,Gigi Datome,None,Italy,Undrafted,Undrafted,Undrafted
2613,Gilbert Arenas,Arizona,USA,30,2,2001
4970,Glen Davis,Louisiana State,USA,35,2,2007
93,Glen Rice,Michigan,USA,4,1,1989
95,Glenn Robinson,Purdue,USA,1,1,1994
8353,Glenn Robinson III,Michigan,USA,40,2,2014
820,God Shammgod,Providence,USA,45,2,1997
10658,Goga Bitadze,None,Georgia,18,1,2019
5398,Goran Dragic,None,Slovenia,45,2,2008
2828,Gordan Giricek,None,Croatia,40,2,1999
6312,Gordon Hayward,Butler,USA,9,1,2010
7898,Gorgui Dieng,Louisville,Senegal,21,1,2013
107,Grant Hill,Duke,USA,3,1,1994
8357,Grant Jerrett,Arizona,USA,40,2,2013
96,Grant Long,Eastern Michigan,USA,33,2,1988
10648,Grant Williams,Tennessee,USA,22,1,2019
10128,Grayson Allen,Duke,USA,21,1,2018
97,Greg Anderson,Houston,USA,23,1,1987
98,Greg Anthony,Nevada-Las Vegas,USA,12,1,1991
1426,Greg Buckner,Clemson,USA,53,2,1998
99,Greg Dreiling,Kansas,USA,26,2,1986
100,Greg Foster,Texas-El Paso,USA,35,2,1990
101,Greg Graham,Indiana,USA,17,1,1993
102,Greg Minor,Louisville,USA,25,1,1994
6314,Greg Monroe,Georgetown,USA,7,1,2010
5395,Greg Oden,Ohio State,USA,1,1,2007
