StatsID,AvgPoints,AvgRebounds,AvgAssists,Net_Rating,Games_Played,OffRebounds,DefRebounds,TeamPlays,ShootingEff,AssistPct,Season_ID
401224,10.1,2.0,1.1,2.2,42,0.026000000000000002,0.08800000000000001,0.222,0.603,0.105,301224
401225,2.1,11.2,1.3,-1.4,23,0.114,0.348,0.065,0.38799999999999996,0.063,301225
401226,6.5,1.6,1.1,-0.1,36,0.013000000000000001,0.084,0.157,0.516,0.091,301226
401227,10.8,2.9,3.8,-1.5,38,0.027000000000000003,0.12,0.23600000000000002,0.529,0.305,301227
401228,5.9,1.8,3.9,8.9,50,0.023,0.07400000000000001,0.149,0.49700000000000005,0.256,301228
401229,6.9,1.5,4.2,-2.6,45,0.013999999999999999,0.052000000000000005,0.14300000000000002,0.506,0.255,301229
401230,5.1,3.7,0.4,2.4,44,0.107,0.18100000000000002,0.165,0.499,0.042,301230
401231,13.1,8.9,2.1,-4.1,37,0.078,0.242,0.23399999999999999,0.496,0.128,301231
401232,4.6,3.2,1.0,12.8,13,0.09,0.13,0.14800000000000002,0.504,0.094,301232
401233,15.0,7.4,3.7,2.3,50,0.05,0.193,0.196,0.573,0.177,301233
401234,9.1,6.8,1.3,-10.0,50,0.086,0.2,0.162,0.528,0.08199999999999999,301234
401235,10.8,12.2,1.1,6.0,50,0.127,0.265,0.14400000000000002,0.584,0.055999999999999994,301235
401236,8.2,3.4,1.0,-1.5,47,0.052000000000000005,0.139,0.223,0.49200000000000005,0.08199999999999999,301236
401237,5.0,2.6,0.6,-1.6,27,0.133,0.182,0.301,0.445,0.131,301237
401238,10.9,3.8,0.9,-8.6,17,0.057999999999999996,0.14400000000000002,0.271,0.47600000000000003,0.078,301238
401239,5.1,3.6,0.7,5.5,47,0.084,0.135,0.12300000000000001,0.58,0.057,301239
401240,11.0,7.1,1.4,-1.2,48,0.095,0.195,0.218,0.484,0.094,301240
401241,15.2,4.1,3.7,-3.3,50,0.038,0.1,0.226,0.501,0.198,301241
401242,3.8,0.9,1.0,-5.1,24,0.027999999999999997,0.065,0.198,0.496,0.174,301242
401243,5.8,1.8,1.4,-6.7,14,0.021,0.085,0.136,0.5329999999999999,0.109,301243
